Date,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
2020-01-03,0.00621129840418333,0.005097193391659927,0.00708225576017818,0.01775664333954219,0.01597206132139095,0.0016545828200817958,0.0026107935499091184,0.03135864977681657,0.01851837058906103,0.005100491690604336,0.013333392247319331,0.0,0.010106505605955718,0.010255104223659606,0.0018091808398423836
2020-01-06,0.03395055626610288,0.0050715096970948,0.02109703670555385,0.01590108517463995,-0.015031263838934383,0.0035988529189392438,0.022395934193838896,0.016216505208381138,-0.005290657096942986,0.011940241531755325,-0.015350719187319228,0.007547031560392492,0.01105840593390206,0.031815863270093114,0.02508877964723677
2020-01-07,-0.006179364679412047,0.009128466644765076,0.02203859852957213,0.006521663982330228,-0.009450574477317342,0.01992835485092015,-0.0015283962660760375,-0.0026595865872494073,0.005318797028187383,0.01769923054816802,0.0,0.001872861525585634,0.015624966503994475,0.051184444867710344,0.02423690034215409
2020-01-08,0.027243221289063868,0.004591123887136339,0.005390792901718511,-0.002159614197734805,-0.0038868679178942767,0.0045532797318861284,0.0,0.002400017888160022,0.011454586332962036,0.0017100195635246784,-0.014253929298874257,0.012398681125731281,0.014359033171707392,0.07289740016257551,-0.006089804045313563
2020-01-09,-0.0029240321516897927,-0.01719453970322904,-0.005361888073551757,0.0060604825493222325,-0.008531555971661886,-0.005680153775833197,0.007142927863141413,0.004256498179762369,0.00665108413009996,0.004948069548707856,-0.005874378574819317,-0.007569691469623718,-0.01541956036742309,-0.01273807869289778,-0.017727872333579975
2020-01-10,-0.007918039411379585,0.012430943002744943,0.00808608914079012,0.004518121439199607,0.016118573902617284,0.0,0.05369799429784705,0.018542854808669018,0.026607052721208335,0.022171129220927677,-0.0004545868295274813,0.03224601248081238,0.026392699500410233,0.009440918278341037,0.02952384791755902
2020-01-13,-0.0067985604142487555,0.005047736852889617,0.0013369377336336363,-0.01156569097825244,-0.0017606505582111742,-0.001730991800126147,-0.004807437835847472,0.01560468711125429,-0.025917465354130975,-0.03239440997635923,-0.010914076953655982,-0.021086032558226164,-0.029466178150190037,0.01918454007057857,0.07294194049980263
2020-01-14,0.017797646261315858,0.0008593868122432902,-0.005340313044617795,-0.03575296345138024,-0.012345830282465053,0.0,-0.013526700599768682,0.002560831464169855,0.05678586002734609,-0.030858844040994704,-0.0321839012909344,-0.017490181443011843,-0.020618630338842814,0.016470543617064237,0.0366857357762449
2020-01-15,-0.025748253093493156,0.014466790014909803,-0.017825553546526374,-0.005617893002141661,-0.026785713094657937,-0.016647545459323454,-0.021008779232324692,-0.0038313360720291234,-0.04190606522521212,-0.010213241181676436,-0.03539194282125513,0.0006245623934475475,-0.0010525379335364349,0.018518609432172317,-0.013223707394109496
2020-01-16,0.005826660094914615,-0.019563362913240456,-0.005384724977526845,-0.009491509475669568,-0.017431031949330267,-0.014166388336359304,0.029413173200079967,0.002435978516048598,-0.0326279328180491,-0.0060698147834883365,-0.010588498756306963,-0.0043693798358652725,-0.012117951784375913,0.007954475344346346,0.026970044887939748
