momento,MAE,RMSE
m1,4.079827560259417e-06,5.02426277373325e-06
m2,5.306829552020723e-05,6.879744632502575e-05
m3,5.696395394298084e-07,1.0084535984429984e-06
m4,1.957515651368945e-05,2.8072165357380978e-05
