,err_m4
AGUAS-A.SN,-8.514264682399323e-06
ANDINA-B.SN,-1.0664073249769479e-06
BCI.SN,-1.3391471292755752e-06
BSANTANDER.SN,-1.175140732230724e-06
CAP.SN,-4.700532302402348e-05
CENCOMALLS.SN,-4.268845906274971e-05
CMPC.SN,-2.2468570991551288e-05
ENELCHILE.SN,-7.840952120753739e-07
ENTEL.SN,-1.52384809676943e-05
FALABELLA.SN,-1.1162646202744146e-05
ITAUCL.SN,-3.192000073099742e-05
MALLPLAZA.SN,-2.493807843536981e-05
PARAUCO.SN,-7.150917929481945e-05
RIPLEY.SN,-6.9322846201837115e-06
SQM-B.SN,-6.885269294250459e-06
