AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CENCOMALLS.SN,CMPC.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,ITAUCL.SN,MALLPLAZA.SN,PARAUCO.SN,RIPLEY.SN,SQM-B.SN
0.059006202166223876,0.00648748107355912,0.05099163060713252,0.04472903512753845,-0.02103329100160567,0.024110663139347954,0.03080926898591274,0.05226492283100237,0.03703692481468979,0.04200412063972969,-0.022222039869408627,0.01421383449519209,0.03590441825925872,0.16065396415057442,0.02689460489253981
0.044135512080638595,0.013831374998859225,0.05203923170973668,0.031139668453322944,-0.020892114934929817,0.022418986249773676,0.08333329964297653,0.03918934383033745,0.04527267419962655,0.05970152979990684,-0.03552623191442139,0.04691818646053658,0.05260655820020643,0.15971856858460431,0.05530325061351582
0.0029849952072549257,0.013807394958538222,0.03168034455832691,0.0032608888466389985,-0.007700465671576451,0.016989192843089196,0.05450853831841895,0.03856369482381372,0.02359735850964917,0.01327438311861684,-0.031180496700744964,0.017166249706331183,0.010416668155377895,0.14552148111800478,0.10456688241058099
0.027183106364116583,0.005499974683708109,0.004043144782182706,-0.038876783706775275,-0.010600836832453608,-0.002881733794194319,0.0418368566021774,0.043999889514305,0.07600018823084786,-0.03507256615465626,-0.06236088796366024,-0.0024923662275110336,-0.025641065330600177,0.1076922307232,0.11799206884985325
-0.025805266923744408,0.015384575299168812,-0.019142081960317636,-0.0422078094846684,-0.03334533996739053,-0.023925645036446674,0.01994913608572313,0.0375099326808368,0.01923434634675658,-0.0465580072196754,-0.08246731173590027,-0.014093303225312215,-0.040444898601285195,0.05154989689047462,0.10996755376151168
-0.01725538850694719,0.012937227735256851,-0.019164602470861825,-0.05701365542222969,-0.04202208603780366,-0.032256159564734044,0.04250255612514198,0.03562913107570176,-0.020535663138591675,-0.05701119770008456,-0.0868182300400876,-0.010914028424484301,-0.03722720786606504,0.0735898972132425,0.160476202474237
-0.02964671500503735,0.02182797384816504,-0.026684477923279992,-0.0661812796614707,-0.04753539500116999,-0.029140045029935058,-0.001442299768096178,0.00260079243791278,-0.05200888558400485,-0.08450705402787184,-0.0879945368796684,-0.04475554443302343,-0.07148932548485576,0.05009591558004911,0.10004617631796076
-0.04185721625295569,-0.003041928061792487,-0.03871823750707959,-0.07107256623527047,-0.05291004245359299,-0.02947997573069061,-0.021739317928899937,-0.007682361434826146,-0.026642999583246785,-0.06646290669459431,-0.07333332027358419,-0.0496471809974669,-0.05407214536881555,0.02329413866459351,0.01306176678048021
-0.10297728153345309,-0.028126181608269185,-0.06281891230567838,-0.056179870372590535,-0.057142698970578554,-0.04040490338567415,-0.0352596048116367,-0.016602787857303847,-0.10476528873523006,-0.06818871423153117,-0.07838474093973602,-0.0599624626045312,-0.06315783620846027,-0.02546286704905809,-0.04374596695978572
-0.08304203339716243,-0.04081376045455465,-0.06111630839295201,-0.048587733841974345,-0.03121086656636818,-0.039501472122261405,-0.014556642875854564,-0.012820571704108663,-0.06851865017330494,-0.04097114743907715,-0.04383165652084642,-0.0632334683028053,-0.08635401438326384,-0.056818190581956474,-0.055415365287438734
