,err_m3
AGUAS-A.SN,1.7989744221063973e-07
ANDINA-B.SN,8.640724094259662e-09
BCI.SN,-1.2543018557934112e-08
BSANTANDER.SN,2.0071451858744952e-07
CAP.SN,-3.149925439425829e-08
CENCOMALLS.SN,-5.773374682719259e-08
CMPC.SN,-2.177050139784607e-06
ENELCHILE.SN,1.0046013437432392e-07
ENTEL.SN,2.5373405115132523e-06
FALABELLA.SN,-4.359144132585407e-08
ITAUCL.SN,4.429492567021297e-08
MALLPLAZA.SN,-7.032889814752137e-07
PARAUCO.SN,-1.8037999667448067e-06
RIPLEY.SN,1.9865136748730206e-07
SQM-B.SN,4.4508691839981857e-07
