,err_m2
AGUAS-A.SN,1.9217928876770398e-05
ANDINA-B.SN,1.3249830524153907e-05
BCI.SN,1.5950190025139756e-05
BSANTANDER.SN,4.683885506702587e-06
CAP.SN,0.00015190499689007961
CENCOMALLS.SN,0.00011426236427714703
CMPC.SN,7.614630189228507e-05
ENELCHILE.SN,5.34915749428929e-07
ENTEL.SN,2.4274822177142684e-05
FALABELLA.SN,4.658947901621654e-05
ITAUCL.SN,8.61377337239076e-05
MALLPLAZA.SN,8.692843064070453e-05
PARAUCO.SN,9.18682281471849e-05
RIPLEY.SN,3.072416844913809e-05
SQM-B.SN,3.3551156907233454e-05
